player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Fernando Calero,5,es ESP,CB,26-239,74,52,7,31,21,0,0,52,1,0,0.0,1,100.0,20,56,35,0,0,0,0,0,33,0,36,2021-2022
   Fran Mérida,8,es ESP,CM,32-068,16,13,0,3,8,2,0,13,0,0,,0,,9,15,4,0,0,0,0,1,10,0,36,2021-2022
Aleix Vidal,22,es ESP,RB,32-263,48,33,0,7,12,14,1,33,0,0,,0,,12,39,23,1,0,0,0,0,19,5,36,2021-2022
   Rubén,39,es ESP,"RB,CB",21-096,42,19,1,8,6,6,0,19,1,1,100.0,0,0.0,7,77,43,1,4,0,1,0,8,0,36,2021-2022
Diego López,13,es ESP,GK,40-189,90,40,37,40,0,0,0,40,0,0,,0,,13,104,87,0,0,0,0,0,6,0,36,2021-2022
Rafa Mir,12,es ESP,FW,24-327,54,15,0,0,6,9,1,15,1,1,100.0,0,0.0,10,32,0,0,0,0,0,1,13,1,36,2021-2022
   Youssef En-Nesyri,15,ma MAR,FW,24-344,36,11,2,4,1,6,5,11,0,0,,0,,4,14,3,0,0,1,1,0,7,1,36,2021-2022
Jesús Corona,9,mx MEX,"LW,RB",29-125,90,68,0,8,20,41,2,68,0,0,,0,,43,274,165,6,3,0,0,3,52,11,36,2021-2022
Érik Lamela,17,ar ARG,RW,30-068,66,43,0,5,14,24,3,43,2,1,50.0,1,50.0,32,204,71,2,0,2,2,3,37,4,36,2021-2022
   Anthony Martial,22,fr FRA,LW,26-157,24,14,0,0,2,12,1,14,0,0,,0,,7,70,22,1,1,1,2,0,11,3,36,2021-2022
Papu Gómez,24,ar ARG,LM,34-085,90,74,1,8,26,40,2,74,4,3,75.0,1,25.0,45,455,323,10,10,0,1,2,53,3,36,2021-2022
Nemanja Gudelj,6,rs SRB,CM,30-176,79,61,1,24,35,2,0,61,0,0,,0,,32,128,55,0,1,0,0,0,37,2,36,2021-2022
   Ivan Rakitić,10,hr CRO,CM,34-062,11,12,0,3,1,8,1,12,0,0,,0,,2,8,6,0,0,0,0,0,4,0,36,2021-2022
