player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
   Matteo Gabbia,2,it ITA,CB,23-341,13,0,0,0,0,0,0,0,0,15,1,1,1,0.0,0.0,0.0,0,0,9,11,81.8,0,8,0,0,0,7,2023-2024
Juan Foyth,8,ar ARG,RB,25-258,90,0,0,0,0,0,0,0,0,54,1,0,2,0.0,0.0,0.0,0,0,36,46,78.3,4,21,2,0,0,7,2023-2024
Filip Jørgensen,13,dk DEN,GK,21-164,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,34,38,89.5,0,22,0,0,0,7,2023-2024
Artem Dovbyk,9,ua UKR,FW,26-098,68,1,0,0,0,6,3,0,0,14,0,0,0,1.0,1.0,0.0,2,0,5,7,71.4,0,9,0,0,0,7,2023-2024
   Cristhian Stuani,7,uy URU,FW,36-350,22,0,0,0,0,2,0,0,0,11,0,0,0,0.2,0.2,0.0,3,0,4,5,80.0,1,6,0,1,1,7,2023-2024
Sávio,16,br BRA,LM,19-170,90,0,1,0,0,0,0,0,0,38,1,0,2,0.0,0.0,0.5,2,1,20,27,74.1,1,25,4,4,3,7,2023-2024
Iván Martín,23,es ESP,CM,24-225,52,0,0,0,0,0,0,0,0,29,1,0,2,0.0,0.0,0.1,2,0,18,20,90.0,1,20,1,2,0,7,2023-2024
   Portu,24,es ESP,FW,31-129,38,0,0,0,0,1,1,0,0,12,2,0,0,0.1,0.1,0.0,0,0,7,9,77.8,0,6,1,0,0,7,2023-2024
Yangel Herrera,21,ve VEN,CM,25-256,90,0,0,0,0,1,0,1,0,43,2,1,0,0.0,0.0,0.3,2,0,34,38,89.5,2,28,3,1,1,7,2023-2024
Viktor Tsyhankov,8,ua UKR,RM,25-316,87,0,0,0,0,2,0,0,0,39,0,2,1,0.2,0.2,0.4,5,1,26,30,86.7,1,29,6,2,2,7,2023-2024
   Jhon Solis,22,co COL,RM,18-359,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0,7,2023-2024
Aleix García,14,es ESP,"DM,CM",26-091,90,0,1,0,0,0,0,0,0,76,4,1,3,0.0,0.0,0.6,6,2,59,64,92.2,7,38,0,0,0,7,2023-2024
Miguel Gutiérrez,3,es ESP,LB,22-062,90,0,0,0,0,2,0,1,0,55,1,0,1,0.0,0.0,0.0,1,0,40,42,95.2,4,32,3,0,0,7,2023-2024
David López,5,es ESP,CB,33-353,90,0,0,0,0,0,0,0,0,73,1,3,3,0.0,0.0,0.0,0,0,52,60,86.7,0,42,0,0,0,7,2023-2024
Eric García,25,es ESP,CB,22-261,87,1,0,0,0,2,1,0,0,67,0,0,2,0.5,0.5,0.0,2,0,49,59,83.1,4,47,0,0,0,7,2023-2024
   Daley Blind,17,nl NED,CB,33-202,3,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,4,5,80.0,1,3,0,0,0,7,2023-2024
Arnau Martinez,4,es ESP,RB,20-155,51,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,1,0,24,25,96.0,0,12,0,1,0,7,2023-2024
   Yan Couto,20,br BRA,RB,21-116,39,0,0,0,0,1,0,0,0,28,3,0,0,0.0,0.0,0.1,2,0,12,18,66.7,1,10,2,1,0,7,2023-2024
Paulo Gazzaniga,13,ar ARG,GK,31-268,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,24,29,82.8,0,15,0,0,0,7,2023-2024
Maxi Gómez,25,uy URU,FW,27-044,76,0,0,0,0,1,0,1,0,29,0,0,0,0.0,0.0,0.0,0,0,7,21,33.3,0,14,0,1,0,7,2023-2024
   Sergi Guardiola,19,es ESP,FW,32-121,14,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,0,0,7,2023-2024
