player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Casemiro,14,br BRA,CM,25-282,90,2,2,1,1,0,2,2,100.0,0,3,2,1,0,2,1,0,14,2017-2018
Luka Modrić,10,hr CRO,RM,32-084,90,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,2,0,14,2017-2018
Marcelo,12,br BRA,LB,29-204,90,3,3,1,0,2,1,3,33.3,2,2,0,2,2,5,1,0,14,2017-2018
Sergio Ramos,4,es ESP,CB,31-247,85,4,3,2,2,0,0,0,,0,0,0,0,6,10,3,0,14,2017-2018
Raphaël Varane,5,fr FRA,CB,24-221,90,1,1,0,1,0,0,0,,0,1,1,0,1,2,7,0,14,2017-2018
Dani Carvajal,2,es ESP,RB,25-325,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2017-2018
Keylor Navas,1,cr CRC,GK,30-352,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Claudio Beauvue,12,gp GLP,FW,29-231,77,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,14,2017-2018
   Naranjo,18,es ESP,LM,23-128,13,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,14,2017-2018
Javier Eraso,17,es ESP,FW,27-256,83,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,14,2017-2018
   Erik Morán,4,es ESP,CM,26-192,7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,2017-2018
Alexander,11,ar ARG,LM,29-051,67,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,14,2017-2018
   Nordin Amrabat,25,ma MAR,"FW,LM",30-247,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Gabriel,8,br BRA,"CM,FW",24-076,90,2,1,1,1,0,0,0,,0,2,0,2,2,4,0,0,14,2017-2018
Rubén Pérez,21,es ESP,CM,28-221,90,0,0,0,0,0,0,0,,0,1,0,1,7,7,1,0,14,2017-2018
Nabil El Zhar,10,ma MAR,RM,31-098,90,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,14,2017-2018
Diego Rico,15,es ESP,LB,24-283,90,2,2,1,1,0,2,3,66.7,1,0,0,0,6,8,2,0,14,2017-2018
Raúl García,14,es ESP,CB,28-217,90,3,3,3,0,0,2,3,66.7,1,1,0,1,0,3,5,0,14,2017-2018
Unai Bustinza,3,es ESP,CB,25-304,90,1,0,1,0,0,0,0,,0,0,0,0,2,3,2,0,14,2017-2018
Tito,2,es ESP,RB,32-145,90,0,0,0,0,0,0,0,,0,5,2,3,1,1,3,0,14,2017-2018
Iván Cuéllar,1,es ESP,GK,33-190,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,1,14,2017-2018
Carlos Bacca,9,co COL,FW,31-086,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
   Roberto Soriano,20,it ITA,"LM,FW",26-298,56,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,14,2017-2018
Cédric Bakambu,17,cd COD,FW,26-236,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,14,2017-2018
Pablo Fornals,8,es ESP,AM,21-284,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,14,2017-2018
Dani Raba,28,es ESP,"LM,FW",22-035,76,1,1,0,1,0,1,4,25.0,3,1,1,0,3,4,0,0,14,2017-2018
   Mario González,27,es ESP,FW,21-281,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Manu Trigueros,14,es ESP,RM,26-047,90,3,2,0,3,0,1,1,100.0,0,1,0,1,0,3,0,0,14,2017-2018
Rodri,16,es ESP,DM,21-164,90,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,2,0,14,2017-2018
Adrián Marín,5,es ESP,LB,20-328,87,3,3,1,2,0,1,5,20.0,4,0,0,0,1,4,5,0,14,2017-2018
   Chuca,33,es ESP,LB,20-176,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,14,2017-2018
Álvaro González,3,es ESP,CB,27-329,90,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,9,0,14,2017-2018
Daniele Bonera,23,it ITA,CB,36-186,90,1,1,1,0,0,1,1,100.0,0,1,1,0,3,4,7,0,14,2017-2018
Mario Gaspar,2,es ESP,RB,27-009,90,3,2,0,2,1,2,2,100.0,0,2,0,2,4,7,4,0,14,2017-2018
Mariano Barbosa,25,ar ARG,GK,33-129,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Ángel Rodríguez,9,es ESP,"LM,FW",30-221,78,2,1,0,1,1,0,1,0.0,1,2,0,2,0,2,1,0,14,2017-2018
   Mathías Olivera,17,uy URU,LM,20-033,12,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,14,2017-2018
Jorge Molina,19,es ESP,FW,35-225,89,1,1,1,0,0,1,5,20.0,4,2,0,2,0,1,3,0,14,2017-2018
   Mehdi Lacen,8,dz ALG,FW,33-263,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,14,2017-2018
Amath,23,sn SEN,"RM,LM",21-140,71,3,3,2,0,1,0,1,0.0,1,3,0,3,3,6,1,0,14,2017-2018
   Fayçal Fajr,21,ma MAR,RM,29-124,19,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,14,2017-2018
Mauro Arambarri,18,uy URU,CM,22-064,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,2017-2018
Markel Bergara,5,es ESP,CM,31-212,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,3,0,14,2017-2018
Francisco Portillo,12,es ESP,"CM,RM",27-173,90,4,3,2,2,0,2,2,100.0,0,0,0,0,1,5,3,0,14,2017-2018
Francisco Molinero,15,es ESP,LB,32-130,90,4,2,4,0,0,2,3,66.7,1,1,0,1,3,7,9,0,14,2017-2018
Bruno González,4,es ESP,CB,27-193,90,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,9,0,14,2017-2018
Djené,2,tg TOG,CB,25-337,90,3,2,2,1,0,0,0,,0,0,0,0,2,5,13,0,14,2017-2018
Damián Suárez,22,uy URU,RB,29-220,90,2,2,2,0,0,2,4,50.0,2,2,0,2,1,3,2,0,14,2017-2018
Vicente Guaita,13,es ESP,GK,30-327,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Rodrigo,19,es ESP,FW,26-272,90,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,2,0,14,2017-2018
Simone Zaza,9,it ITA,FW,26-161,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,14,2017-2018
Andreas Pereira,11,br BRA,LM,21-336,62,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,2017-2018
   Santi Mina,22,es ESP,LM,21-361,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,2017-2018
Geoffrey Kondogbia,16,cf CTA,CM,24-291,45,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,14,2017-2018
