player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
José Luis Morales,11,es ESP,"LM,RM",30-259,90,0,1,0,0,2,0,1,0,37,1,0,3,0.7,0.7,0.4,8,2,11,23,47.8,2,31,5,8,7,31,2017-2018
José Campaña,24,es ESP,CM,24-312,90,1,0,0,0,1,1,1,0,57,2,0,3,0.1,0.1,0.7,2,1,36,45,80.0,6,32,4,3,1,31,2017-2018
Jefferson Lerma,8,co COL,CM,23-165,90,0,0,0,0,0,0,1,0,49,2,2,0,0.0,0.0,0.0,3,0,32,41,78.0,4,18,0,1,1,31,2017-2018
Ivi,14,es ESP,RM,23-283,66,0,0,0,0,0,0,0,0,35,2,0,1,0.0,0.0,0.1,3,0,17,28,60.7,6,26,3,2,1,31,2017-2018
   Enis Bardhi,10,mk MKD,LM,22-280,24,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,4,8,50.0,1,5,1,3,1,31,2017-2018
Coke,12,es ESP,LB,30-347,85,1,0,0,0,1,1,2,1,43,2,1,0,0.5,0.5,0.0,0,0,22,37,59.5,1,13,0,0,0,31,2017-2018
Rober,4,es ESP,"CB,LB",23-051,90,0,0,0,0,0,0,1,0,36,4,4,0,0.0,0.0,0.0,0,0,19,22,86.4,3,11,0,0,0,31,2017-2018
Erick Cabaco,18,uy URU,CB,22-354,90,0,0,0,0,0,0,0,0,28,2,1,1,0.0,0.0,0.0,0,0,13,16,81.3,0,8,0,0,0,31,2017-2018
Pedro López Muñoz,19,es ESP,RB,34-158,90,0,0,0,0,0,0,0,0,58,0,1,2,0.0,0.0,0.0,0,0,32,48,66.7,5,20,2,1,0,31,2017-2018
Oier Olazábal,13,es ESP,GK,28-206,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,16,0,0,0,31,2017-2018
Erik Expósito,29,es ESP,FW,21-289,90,0,0,0,0,4,1,0,0,29,0,0,0,0.3,0.3,0.1,3,0,13,18,72.2,3,17,0,3,3,31,2017-2018
Momo,11,es ESP,LW,35-267,45,0,0,0,0,0,0,0,0,27,2,1,0,0.0,0.0,0.1,1,0,18,22,81.8,2,18,1,1,0,31,2017-2018
   Jonathan Calleri,9,ar ARG,FW,24-197,45,0,1,0,0,2,0,0,0,26,1,0,0,0.4,0.4,0.1,2,1,13,21,61.9,2,15,2,2,2,31,2017-2018
Alen Halilović,8,hr CRO,"RM,RW",21-294,90,0,0,0,0,2,1,0,0,58,2,0,1,0.0,0.0,0.2,9,0,36,51,70.6,5,45,8,6,4,31,2017-2018
Imoh Ezekiel,14,ng NGA,"LM,AM",24-166,90,0,0,0,0,3,2,0,0,35,2,0,0,0.4,0.4,0.0,5,0,19,26,73.1,5,30,4,1,0,31,2017-2018
