player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Carlos Fernández,9,es ESP,FW,24-335,71,29,28,0,0,1,0,0,0,0,0,0,0,23,1,3,31,2020-2021
   Jon Bautista,25,es ESP,FW,25-293,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Portu,7,es ESP,LM,28-336,90,20,20,0,0,0,0,1,0,0,0,0,0,17,0,1,31,2020-2021
Jon Guridi,14,es ESP,CM,26-053,90,28,28,0,0,0,0,0,0,0,0,0,0,21,0,2,31,2020-2021
Ander Guevara,16,es ESP,CM,23-289,67,36,34,2,2,0,0,0,0,0,0,0,0,28,0,0,31,2020-2021
   Martín Zubimendi,36,es ESP,CM,22-079,23,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,31,2020-2021
Adnan Januzaj,11,be BEL,RM,26-076,45,19,15,4,2,0,0,4,1,1,1,0,0,14,0,1,31,2020-2021
   Mikel Oyarzabal,10,es ESP,RM,24-001,45,21,18,3,2,0,0,2,0,1,1,0,0,12,0,0,31,2020-2021
Nacho Monreal,20,es ESP,LB,35-055,90,37,28,9,1,0,0,1,8,0,0,0,0,24,0,0,31,2020-2021
Robin Le Normand,24,es ESP,CB,24-162,84,33,33,0,0,0,0,0,0,0,0,0,0,23,0,0,31,2020-2021
   Modibo Sagnan,15,fr FRA,CB,22-008,6,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Aritz Elustondo,6,es ESP,CB,27-025,90,24,22,2,2,0,0,0,0,0,0,0,0,13,0,0,31,2020-2021
Andoni Gorosabel,18,es ESP,RB,24-261,90,44,32,12,0,0,0,1,12,0,0,0,0,37,0,1,31,2020-2021
Álex Remiro,1,es ESP,GK,26-029,90,31,16,15,9,0,0,0,0,0,0,0,0,15,0,0,31,2020-2021
Santi Mina,22,es ESP,FW,25-136,90,21,21,0,0,0,1,0,0,0,0,0,0,13,0,0,31,2020-2021
Iago Aspas,10,es ESP,"FW,CM",33-264,90,40,38,1,1,0,1,2,0,0,0,0,0,32,1,0,31,2020-2021
Nolito,9,es ESP,LM,34-189,77,28,26,2,2,0,0,0,0,0,0,0,0,19,0,1,31,2020-2021
   Augusto Solari,21,ar ARG,RM,29-109,13,9,8,1,0,0,0,4,0,1,0,1,0,5,0,0,31,2020-2021
