player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,pens_made,pens_att,shots,shots_on_target,xg,npxg,sca,gca
Sergio Camello,34,es ESP,FW,21-206,80,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Radamel Falcao,9,co COL,FW,36-206,10,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro García,18,es ESP,LW,29-312,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,4.0,,,,,,,,19.0,31.0,,,,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvi,14,es ESP,RW,31-158,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,9.0,17.0,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Isaac Palazón Camacho,7,es ESP,RW,27-251,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,12.0,20.0,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar Trejo,8,ar ARG,AM,34-131,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,31.0,37.0,,,,,,,,,,,,,,,,,,,,,35.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar Valentín,23,es ESP,DM,28-015,71,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,20.0,24.0,,,,,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Santi Comesaña,6,es ESP,DM,25-334,19,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathé Ciss,21,sn SEN,DM,28-172,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,27.0,32.0,,,,,,,,,,,,,,,,,,,,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Garcia,3,es ESP,LB,23-021,89,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,34.0,41.0,,,,,,,,,,,,,,,,,,,,,30.0,11.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Pep Chavarría,15,es ESP,LB,24-147,1,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catena,5,es ESP,CB,27-311,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,49.0,61.0,,,,,,,,,,,,,,,,,,,,,57.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Lejeune,19,fr FRA,CB,31-107,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,40.0,51.0,,,,,,,,,,,,,,,,,,,,,48.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iván Balliu,20,al ALB,RB,30-246,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,32.0,45.0,,,,,,,,,,,,,,,,,,,,,35.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stole Dimitrievski,1,mk MKD,GK,28-253,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,29.0,41.0,,,,,,,,,,,,,,,,,,,,,27.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iñaki Williams,9,gh GHA,"FW,RW",28-081,70,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,7.0,11.0,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Raúl García,22,es ESP,AM,36-055,20,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Berenguer,7,es ESP,"LW,RW",27-062,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,7.0,,,,,,,,32.0,46.0,,,,,,,,,,,,,,,,,,,,,39.0,7.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Williams,11,es ESP,RW,20-054,55,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,18.0,24.0,,,,,,,,,,,,,,,,,,,,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Gorka Guruzeta,12,es ESP,FW,25-357,35,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iker Muniain,10,es ESP,"AM,LW",29-259,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,7.0,,,,,,,,66.0,80.0,,,,,,,,,,,,,,,,,,,,,74.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Vesga,6,es ESP,DM,29-106,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,65.0,76.0,,,,,,,,,,,,,,,,,,,,,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oihan Sancet,8,es ESP,DM,22-132,70,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,37.0,50.0,,,,,,,,,,,,,,,,,,,,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Unai Vencedor Paris,16,es ESP,DM,21-293,20,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,13.0,14.0,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iñigo Lekue,15,es ESP,LB,29-123,83,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,6.0,,,,,,,,35.0,56.0,,,,,,,,,,,,,,,,,,,,,48.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Jon Morcillo,2,es ESP,LB,23-354,7,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeray Álvarez,5,es ESP,CB,27-223,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,55.0,70.0,,,,,,,,,,,,,,,,,,,,,68.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Vivian,3,es ESP,CB,23-051,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,63.0,68.0,,,,,,,,,,,,,,,,,,,,,65.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar de Marcos,18,es ESP,RB,33-143,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,5.0,,,,,,,,68.0,79.0,,,,,,,,,,,,,,,,,,,,,58.0,21.0,2.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Simón,1,es ESP,GK,25-085,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,40.0,44.0,,,,,,,,,,,,,,,,,,,,,39.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joselu,9,es ESP,FW,32-161,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,13.0,26.0,,,,,,,,,,,,,,,,,,,,,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Braithwaite,17,dk DEN,"LW,LM",31-091,85,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Dani Gómez,19,es ESP,LM,24-036,5,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javi Puado,7,es ESP,RW,24-102,70,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,9.0,16.0,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   José Carlos Lazo,16,es ESP,"RM,RW",26-200,20,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergi Darder,10,es ESP,"LM,CM",28-256,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,35.0,44.0,,,,,,,,,,,,,,,,,,,,,38.0,6.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edu Expósito,20,es ESP,CM,26-034,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,9.0,17.0,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Keidi Bare,8,al ALB,CM,25-007,15,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Simo,28,es ESP,"CB,CM",17-213,30,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Souza,12,br BRA,"RM,CM",23-079,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,19.0,25.0,,,,,,,,,,,,,,,,,,,,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Oliván,14,es ESP,"LB,CB",28-156,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,18.0,34.0,,,,,,,,,,,,,,,,,,,,,27.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Cabrera,4,uy URU,CB,31-079,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,17.0,29.0,,,,,,,,,,,,,,,,,,,,,23.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Calero,5,es ESP,CB,26-355,70,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,22.0,28.0,,,,,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Omar El Hilali,26,ma MAR,"LB,CB",18-357,20,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar Gil,2,es ESP,RB,25-131,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,33.0,44.0,,,,,,,,,,,,,,,,,,,,,32.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Fernández,25,es ESP,GK,24-144,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,17.0,30.0,,,,,,,,,,,,,,,,,,,,,13.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Jackson,15,sn SEN,FW,21-076,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   José Luis Morales,22,es ESP,FW,35-043,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Moreno,7,es ESP,FW,30-150,64,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,12.0,23.0,,,,,,,,,,,,,,,,,,,,,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Alex Baena,16,es ESP,"FW,LM",21-046,26,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,8.0,11.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,17,ar ARG,"LM,FW",26-148,78,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,24.0,29.0,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Francis Coquelin,19,fr FRA,LM,31-114,12,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Parejo,10,es ESP,CM,33-141,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,51.0,57.0,,,,,,,,,,,,,,,,,,,,,52.0,5.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Étienne Capoue,6,fr FRA,CM,34-055,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,48.0,54.0,,,,,,,,,,,,,,,,,,,,,53.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeremi Pino,21,es ESP,RM,19-319,64,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,31.0,37.0,,,,,,,,,,,,,,,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Samuel Chukwueze,11,ng NGA,RM,23-105,26,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Pedraza,24,es ESP,LB,26-148,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,27.0,36.0,,,,,,,,,,,,,,,,,,,,,32.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Torres,4,es ESP,CB,25-231,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,45.0,52.0,,,,,,,,,,,,,,,,,,,,,47.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl Albiol,3,es ESP,CB,37-000,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,64.0,70.0,,,,,,,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiko Femenía,2,es ESP,RB,31-214,78,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,53.0,63.0,,,,,,,,,,,,,,,,,,,,,56.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Aïssa Mandi,23,dz ALG,RB,30-317,12,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerónimo Rulli,13,ar ARG,GK,30-107,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,33.0,35.0,,,,,,,,,,,,,,,,,,,,,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezequiel Ponce,19,ar ARG,FW,25-159,56,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,9.0,10.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Roger Martí,18,es ESP,FW,31-244,34,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Boyé,9,ar ARG,FW,26-188,56,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Pere Milla,10,es ESP,"FW,LM",29-346,34,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,18.0,20.0,,,,,,,,,,,,,,,,,,,,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Collado,15,es ESP,LM,23-135,69,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,33.0,35.0,,,,,,,,,,,,,,,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Domingos Quina,12,pt POR,"FW,LM",22-290,21,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,2.0,,,,,,,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl Guti,8,es ESP,CM,25-248,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,12.0,14.0,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Gerard Gumbau,20,es ESP,CM,27-260,45,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,32.0,38.0,,,,,,,,,,,,,,,,,,,,,34.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Mascarell,21,es ESP,CM,29-214,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,46.0,52.0,,,,,,,,,,,,,,,,,,,,,48.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tete Morente,11,es ESP,RM,25-274,70,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,8.0,,,,,,,,21.0,32.0,,,,,,,,,,,,,,,,,,,,,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Josan,17,es ESP,RM,32-275,20,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,3.0,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Clerc,23,es ESP,LB,30-195,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,6.0,,,,,,,,34.0,45.0,,,,,,,,,,,,,,,,,,,,,38.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Bigas,6,es ESP,CB,31-354,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,1.0,,,,,,,,47.0,59.0,,,,,,,,,,,,,,,,,,,,,56.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roco,3,cl CHI,CB,30-019,90,,,,,,,,,,,,,,,,,4,2022-2023,,,,,,,0.0,,,,,,,,43.0,49.0,,,,,,,,,,,,,,,,,,,,,43.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
