player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Moi Gómez,23,es ESP,LM,25-133,62,33,0,7,9,18,2,33,0,0,,0,,26,130,64,4,1,0,2,0,25,10,12,2019-2020
   Samuel Chukwueze,11,ng NGA,"RM,LM",20-165,28,10,0,1,2,7,2,10,0,0,,0,,9,67,34,1,0,1,1,1,9,3,12,2019-2020
Santi Cazorla,8,es ESP,"CM,LM",34-325,90,61,1,8,23,32,4,61,2,2,100.0,0,0.0,44,311,145,5,1,2,0,2,44,5,12,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,CM,23-352,79,62,2,10,36,17,0,62,3,2,66.7,1,33.3,48,193,62,0,1,0,1,1,46,5,12,2019-2020
   Javier Ontiveros,24,es ESP,LM,22-055,11,9,0,3,2,4,1,9,0,0,,0,,5,41,23,1,0,1,0,1,6,2,12,2019-2020
Gerard Moreno,7,es ESP,"RM,FW",27-210,90,64,4,8,29,28,3,64,3,1,33.3,2,66.7,42,199,76,1,0,1,1,0,44,14,12,2019-2020
Vicente Iborra,10,es ESP,"DM,CM",31-291,90,65,4,21,38,7,0,65,1,1,100.0,0,0.0,35,172,114,1,0,0,1,0,36,1,12,2019-2020
Xavi Quintillà,16,es ESP,LB,23-072,90,62,2,23,15,25,0,62,0,0,,0,,36,146,98,4,3,1,1,0,40,9,12,2019-2020
Pau Torres,4,es ESP,CB,22-291,90,50,9,35,15,0,0,50,0,0,,0,,35,231,141,0,0,0,0,0,30,0,12,2019-2020
Raúl Albiol,3,es ESP,CB,34-060,90,75,16,50,22,3,2,75,0,0,,0,,43,342,256,0,0,0,0,0,44,0,12,2019-2020
Rubén Peña,20,es ESP,RB,28-108,90,69,1,12,31,26,2,69,1,0,0.0,1,100.0,39,233,135,2,3,0,4,0,44,6,12,2019-2020
Sergio Asenjo,1,es ESP,GK,30-128,90,34,30,34,0,0,0,34,0,0,,0,,19,77,44,0,0,0,0,0,14,0,12,2019-2020
Iñaki Williams,9,gh GHA,FW,25-141,90,39,3,5,12,24,5,39,5,3,60.0,2,40.0,27,256,158,5,2,2,3,1,31,11,12,2019-2020
Ibai Gómez,19,es ESP,LW,29-357,73,41,0,8,7,27,3,41,0,0,,0,,19,114,44,2,2,1,1,1,20,5,12,2019-2020
   Iñigo Córdoba,11,es ESP,LW,22-235,17,9,0,3,1,5,0,9,0,0,,0,,8,23,9,0,0,0,0,0,7,2,12,2019-2020
Raúl García,22,es ESP,"RW,AM",33-115,90,46,3,8,22,16,1,46,0,0,,0,,26,88,42,1,3,0,1,1,33,3,12,2019-2020
Iker Muniain,10,es ESP,AM,26-319,85,37,0,4,19,14,1,37,2,2,100.0,0,0.0,22,90,27,1,0,1,1,2,31,1,12,2019-2020
   Larra,12,es ESP,"RW,AM",21-321,5,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,12,2019-2020
