player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
   Aleix García,23,es ESP,LM,21-059,20,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,,2,2018-2019
Marc Muniesa,20,es ESP,LB,26-152,90,1,0,0,3,0,0,1,3,2,0,1,0,7,0,1,0.0,2,2018-2019
Bernardo Espinosa,2,co COL,CB,29-046,90,0,0,0,0,0,0,0,3,1,0,0,0,6,2,1,66.7,2,2018-2019
Juanpe,15,es ESP,CB,27-118,90,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0,2,2018-2019
Pedro Porro,29,es ESP,RB,18-347,78,1,0,0,1,0,0,3,5,2,0,0,0,12,0,0,,2,2018-2019
   Aday,11,es ESP,RB,30-253,12,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,,2,2018-2019
Yassine Bounou,13,ma MAR,GK,27-143,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,2018-2019
Karim Benzema,9,fr FRA,FW,30-250,90,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,50.0,2,2018-2019
Marco Asensio,20,es ESP,"LW,RW",22-217,90,0,0,0,0,2,0,5,0,0,2,0,0,2,0,1,0.0,2,2018-2019
Gareth Bale,11,wls WAL,RW,29-041,86,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,,2,2018-2019
   Lucas Vázquez,17,es ESP,"LW,RW",27-056,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Isco,22,es ESP,AM,26-127,76,0,0,0,1,1,0,1,0,0,0,0,0,6,1,4,20.0,2,2018-2019
   Luka Modrić,10,hr CRO,AM,32-351,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,2018-2019
Toni Kroos,8,de GER,DM,28-234,90,0,0,0,1,1,0,5,1,0,0,0,0,8,2,1,66.7,2,2018-2019
Casemiro,14,br BRA,DM,26-184,90,0,0,0,3,0,0,0,2,2,0,0,0,4,1,1,50.0,2,2018-2019
Marcelo,12,br BRA,LB,30-106,59,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0.0,2,2018-2019
   Raphaël Varane,5,fr FRA,CB,25-123,31,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,2,2018-2019
