player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,32-059,88,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,15,2018-2019
   Seydou Doumbia,22,ci CIV,FW,30-344,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Borja García,10,es ESP,AM,28-038,90,2,2,2,0,0,1,2,50.0,1,2,0,2,1,3,0,0,15,2018-2019
Portu,9,es ESP,AM,26-203,71,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,15,2018-2019
   Anthony Lozano,19,hn HON,AM,25-229,19,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,15,2018-2019
Pere Pons,8,es ESP,CM,25-293,90,5,3,3,2,0,0,1,0.0,1,3,1,2,0,5,4,0,15,2018-2019
Aleix García,23,es ESP,CM,21-165,61,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,3,0,15,2018-2019
   Douglas Luiz,12,br BRA,CM,20-215,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,15,2018-2019
Álex Granell,6,es ESP,WB,30-130,90,3,1,2,1,0,2,4,50.0,2,2,0,2,2,5,6,0,15,2018-2019
Pedro Porro,29,es ESP,WB,19-088,90,3,3,3,0,0,2,6,33.3,4,1,0,1,0,3,2,0,15,2018-2019
Juanpe,15,es ESP,CB,27-224,90,4,2,4,0,0,3,6,50.0,3,3,3,0,0,4,11,0,15,2018-2019
Bernardo Espinosa,2,co COL,CB,29-152,90,1,1,1,0,0,0,0,,0,3,3,0,0,1,15,0,15,2018-2019
Jonás Ramalho,4,es ESP,CB,25-183,90,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,10,0,15,2018-2019
Gorka Iraizoz,1,es ESP,GK,37-279,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,15,2018-2019
