player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Marc Bartra,5,es ESP,CB,27-286,90,60,67,89.6,1228,494,17,17,100.0,33,36,91.7,9,13,69.2,0,0.0,0.0,0,2,0,0,1,10,2018-2019
Aïssa Mandi,23,dz ALG,CB,27-006,90,67,70,95.7,1360,457,21,21,100.0,33,33,100.0,12,14,85.7,0,0.0,0.0,0,5,0,0,7,10,2018-2019
Joel Robles,1,es ESP,GK,28-133,90,37,45,82.2,1046,768,6,6,100.0,16,17,94.1,15,22,68.2,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Luis Suárez,9,uy URU,FW,31-277,90,24,36,66.7,389,93,14,18,77.8,5,9,55.6,4,5,80.0,0,0.1,0.3,2,2,1,1,5,10,2018-2019
Philippe Coutinho,7,br BRA,LW,26-138,73,34,44,77.3,485,112,21,22,95.5,9,13,69.2,2,6,33.3,0,0.1,0.1,1,0,1,0,4,10,2018-2019
   Ousmane Dembélé,11,fr FRA,LW,21-166,17,9,10,90.0,156,73,2,2,100.0,7,8,87.5,0,0,,1,0.5,0.5,1,1,0,0,0,10,2018-2019
Rafinha,12,br BRA,RW,25-258,68,27,35,77.1,372,62,18,20,90.0,9,13,69.2,0,1,0.0,0,0.0,0.0,1,4,0,0,3,10,2018-2019
   Nélson Semedo,2,pt POR,RB,24-346,22,10,13,76.9,85,19,8,9,88.9,0,1,0.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,10,2018-2019
Arthur Melo,8,br BRA,"LM,AM",22-077,83,47,50,94.0,780,244,26,27,96.3,16,17,94.1,5,5,100.0,0,0.0,0.0,0,6,1,0,6,10,2018-2019
   Arturo Vidal,22,cl CHI,AM,31-159,7,6,6,100.0,104,48,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,1,0,1,10,2018-2019
Sergio Busquets,5,es ESP,"CM,DM",30-104,90,57,63,90.5,1155,243,15,17,88.2,29,30,96.7,11,13,84.6,0,0.0,0.0,1,4,0,0,5,10,2018-2019
Ivan Rakitić,4,hr CRO,"RM,DM",30-232,90,65,69,94.2,1026,397,31,32,96.9,25,26,96.2,6,8,75.0,0,0.0,0.1,0,7,2,0,9,10,2018-2019
Jordi Alba,18,es ESP,LB,29-221,90,64,75,85.3,876,406,38,43,88.4,22,25,88.0,1,3,33.3,1,0.4,0.4,1,6,2,1,6,10,2018-2019
Clément Lenglet,15,fr FRA,CB,23-133,90,39,44,88.6,688,290,19,20,95.0,16,17,94.1,4,7,57.1,0,0.0,0.0,0,1,0,0,3,10,2018-2019
Gerard Piqué,3,es ESP,CB,31-268,90,39,47,83.0,847,254,11,13,84.6,21,23,91.3,7,10,70.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Sergi Roberto,20,es ESP,"RB,RW",26-263,90,47,52,90.4,728,195,28,31,90.3,15,15,100.0,4,5,80.0,2,1.0,0.7,4,2,3,1,5,10,2018-2019
Marc-André ter Stegen,1,de GER,GK,26-181,90,30,34,88.2,817,611,1,1,100.0,19,21,90.5,10,12,83.3,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Karim Benzema,9,fr FRA,FW,30-313,90,25,29,86.2,354,69,16,16,100.0,9,10,90.0,0,2,0.0,0,0.1,0.1,2,3,3,0,7,10,2018-2019
Isco,22,es ESP,"CM,LW",26-190,90,49,64,76.6,761,186,24,27,88.9,22,26,84.6,1,4,25.0,0,0.1,0.1,2,1,1,0,8,10,2018-2019
Gareth Bale,11,wls WAL,"RW,FW",29-104,76,15,20,75.0,181,27,13,17,76.5,2,2,100.0,0,0,,0,0.1,0.0,1,1,1,1,1,10,2018-2019
   Marco Asensio,20,es ESP,"WB,FW",22-280,14,7,9,77.8,109,60,4,4,100.0,3,5,60.0,0,0,,0,0.0,0.0,0,2,1,0,3,10,2018-2019
Toni Kroos,8,de GER,"CM,LM",28-297,90,57,63,90.5,1005,336,29,30,96.7,19,20,95.0,8,8,100.0,0,0.0,0.0,0,5,0,0,9,10,2018-2019
Casemiro,14,br BRA,"CB,CM",26-247,90,40,47,85.1,864,369,17,19,89.5,13,17,76.5,10,11,90.9,0,0.0,0.0,0,5,0,0,6,10,2018-2019
