Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
Brais Méndez,23,es ESP,RM,26-217,90,0,0,0,0,2,0,0,0,56.0,3.0,0,1.0,0.1,0.1,0.3,4.0,0.0,35.0,45.0,77.8,4.0,33.0,0.0,3.0,1.0,1,2023-2024
Aihen Muñoz,3,es ESP,LB,25-361,90,0,1,0,0,1,0,0,0,55.0,4.0,0,1.0,0.0,0.0,0.2,3.0,1.0,30.0,43.0,69.8,1.0,31.0,2.0,4.0,1.0,1,2023-2024
Robin Le Normand,24,es ESP,CB,26-274,90,0,0,0,0,1,0,1,0,75.0,2.0,3,0.0,0.1,0.1,0.0,2.0,0.0,53.0,62.0,85.5,2.0,42.0,0.0,0.0,0.0,1,2023-2024
Igor Zubeldia,5,es ESP,CB,26-135,90,0,0,0,0,0,0,0,0,52.0,0.0,1,1.0,0.0,0.0,0.2,1.0,0.0,41.0,47.0,87.2,4.0,38.0,1.0,0.0,0.0,1,2023-2024
Hamari Traoré,18,ml MLI,RB,31-197,73,0,0,0,0,0,0,0,0,39.0,0.0,0,1.0,0.0,0.0,0.1,3.0,0.0,27.0,34.0,79.4,2.0,17.0,0.0,0.0,0.0,1,2023-2024
   Alex Sola,2,es ESP,RB,24-064,17,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,1.0,7.0,0.0,0.0,0.0,1,2023-2024
Álex Remiro,1,es ESP,GK,28-141,90,0,0,0,0,0,0,0,0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,0.0,27.0,0.0,0.0,0.0,1,2023-2024
Carlos Fernández,9,es ESP,FW,27-082,58,0,0,0,0,2,0,0,0,17.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,54.5,2.0,7.0,0.0,0.0,0.0,1,2023-2024
   Ander Barrenetxea,7,es ESP,LW,21-228,32,0,0,0,0,0,0,0,0,21.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,10.0,16.0,62.5,1.0,19.0,1.0,3.0,2.0,1,2023-2024
Mikel Oyarzabal,10,es ESP,"LW,FW",26-113,73,0,0,0,0,1,1,0,0,23.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,9.0,14.0,64.3,0.0,18.0,2.0,2.0,1.0,1,2023-2024
   Umar Sadiq,19,ng NGA,FW,26-191,17,0,0,0,0,2,0,0,0,6.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,1.0,3.0,33.3,1.0,4.0,0.0,2.0,1.0,1,2023-2024
Takefusa Kubo,14,jp JPN,RW,22-069,73,1,0,0,0,3,1,0,0,29.0,2.0,2,1.0,0.3,0.3,0.0,1.0,0.0,13.0,17.0,76.5,4.0,19.0,2.0,2.0,1.0,1,2023-2024
