player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Robert Lewandowski,9,pl POL,FW,34-272,90,1,0,0,2,3,0,0,0,0,0,0,0,0,1,2,33.3,35,2022-2023
Ousmane Dembélé,7,fr FRA,"LW,RW",26-005,85,0,0,0,1,3,1,5,0,1,0,0,0,4,1,0,100.0,35,2022-2023
   Pablo Torre,32,es ESP,AM,20-047,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Raphinha,22,br BRA,RW,26-157,62,0,0,0,0,0,0,8,0,1,0,0,0,5,0,0,,35,2022-2023
   Ansu Fati,10,es ESP,LW,20-201,28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,35,2022-2023
Frenkie de Jong,21,nl NED,"LM,DM",26-008,90,1,0,0,0,3,0,1,2,3,0,0,0,9,4,1,80.0,35,2022-2023
Sergio Busquets,5,es ESP,"CM,DM",34-308,83,1,0,0,1,0,0,0,2,0,0,0,0,5,1,3,25.0,35,2022-2023
   Eric García,24,es ESP,DM,22-131,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Franck Kessié,19,ci CIV,RM,26-152,62,0,0,0,1,2,0,0,0,2,0,0,0,4,0,1,0.0,35,2022-2023
   Ferrán Torres,11,es ESP,"AM,RW",23-080,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,35,2022-2023
Jordi Alba,18,es ESP,LB,34-060,90,0,0,0,2,1,0,1,0,1,0,0,0,8,0,0,,35,2022-2023
Andreas Christensen,15,dk DEN,CB,27-040,90,0,0,0,1,0,0,0,1,0,0,0,0,5,3,2,60.0,35,2022-2023
Jules Koundé,23,fr FRA,CB,24-189,45,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0.0,35,2022-2023
   Marcos Alonso,17,es ESP,CB,32-143,45,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,35,2022-2023
