player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Denis Suárez,6,es ESP,LM,25-273,87,56,46,10,4,0,0,10,2,4,0,4,0,44,0,1,8,2019-2020
   Fran Beltrán,8,es ESP,LM,20-245,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,2019-2020
Okay Yokuşlu,5,tr TUR,CM,25-211,90,67,64,3,3,0,2,0,0,0,0,0,0,54,0,0,8,2019-2020
Stanislav Lobotka,14,sk SVK,CM,24-315,81,52,50,2,2,0,1,0,0,0,0,0,0,46,0,1,8,2019-2020
   Pape Cheikh Diop,24,sn SEN,CM,22-059,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Rafinha,12,br BRA,RM,26-236,70,39,38,1,1,0,0,2,0,0,0,0,0,34,0,1,8,2019-2020
   Brais Méndez,23,es ESP,RM,22-272,20,13,12,1,1,0,0,1,0,0,0,0,0,10,0,1,8,2019-2020
Lucas Olaza,15,uy URU,LB,25-077,90,74,57,17,4,0,1,8,12,1,0,1,0,55,0,2,8,2019-2020
Néstor Araujo,4,mx MEX,CB,28-038,90,52,51,1,1,0,0,0,0,0,0,0,0,49,0,0,8,2019-2020
Joseph Aidoo,18,gh GHA,CB,24-007,90,46,45,1,1,0,0,0,0,0,0,0,0,42,0,0,8,2019-2020
Hugo Mallo,2,es ESP,RB,28-106,90,54,43,11,1,0,1,3,10,0,0,0,0,38,0,2,8,2019-2020
Rubén Blanco,13,es ESP,GK,24-073,90,28,17,11,1,0,0,0,0,0,0,0,0,16,0,0,8,2019-2020
Iñaki Williams,9,gh GHA,FW,25-113,90,16,16,0,0,0,0,1,0,0,0,0,0,10,0,2,8,2019-2020
Iker Muniain,10,es ESP,LW,26-291,80,30,24,6,2,0,0,6,0,3,2,1,0,22,0,0,8,2019-2020
   Aritz Aduriz,20,es ESP,LW,38-237,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Óscar de Marcos,18,es ESP,RW,30-175,65,19,19,0,0,0,0,0,0,0,0,0,0,12,0,1,8,2019-2020
   Oihan Sancet,34,es ESP,RW,19-164,25,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,8,2019-2020
Raúl García,22,es ESP,AM,33-087,90,28,28,0,0,0,1,1,0,0,0,0,0,12,0,0,8,2019-2020
Mikel Vesga,16,es ESP,DM,26-138,80,29,25,4,0,0,1,0,3,0,0,0,0,21,0,0,8,2019-2020
   Larra,12,es ESP,DM,21-293,10,5,4,1,0,0,0,2,0,1,1,0,0,4,0,0,8,2019-2020
Dani García,14,es ESP,DM,29-135,90,40,37,3,3,0,0,0,0,0,0,0,0,31,0,0,8,2019-2020
Mikel Balenziaga,24,es ESP,LB,31-219,90,40,27,13,0,0,0,3,13,0,0,0,0,31,0,1,8,2019-2020
Iñigo Martínez,4,es ESP,CB,28-142,90,28,27,1,1,0,1,0,0,0,0,0,0,19,0,1,8,2019-2020
Yeray Álvarez,5,es ESP,CB,24-255,90,31,30,1,1,0,0,0,0,0,0,0,0,28,0,0,8,2019-2020
Ander Capa,21,es ESP,RB,27-240,90,46,37,9,0,0,0,3,9,0,0,0,0,28,0,2,8,2019-2020
Unai Simón,1,es ESP,GK,22-117,90,26,18,8,1,0,0,0,0,0,0,0,0,14,0,0,8,2019-2020
Sandro Ramírez,20,es ESP,FW,24-089,68,14,12,2,0,0,0,3,0,2,0,1,0,8,0,1,8,2019-2020
   Enes Ünal,9,tr TUR,FW,22-149,22,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,8,2019-2020
Sergi Guardiola,7,es ESP,FW,28-130,90,26,25,1,0,0,1,1,0,0,0,0,0,19,0,1,8,2019-2020
Toni Villa,19,es ESP,LM,24-272,64,15,15,0,0,0,0,0,0,0,0,0,0,13,0,1,8,2019-2020
   Waldo Rubio,23,es ESP,LM,24-050,26,8,8,0,0,0,1,0,0,0,0,0,0,5,0,1,8,2019-2020
Míchel,21,es ESP,CM,31-069,83,61,57,4,4,0,5,0,0,0,0,0,0,53,0,0,8,2019-2020
   Anuar,8,ma MAR,CM,24-264,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Joaquín Fernández,24,es ESP,CM,23-128,90,43,43,0,0,0,2,0,0,0,0,0,0,37,0,0,8,2019-2020
Óscar Plano,10,es ESP,RM,28-237,90,15,14,1,0,0,0,0,0,1,0,0,0,11,0,0,8,2019-2020
