Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
   Javier Eraso,17,es ESP,RM,29-176,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,5,0,0,0,4,2019-2020
Juan Soriano,13,es ESP,GK,22-022,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,13,0,0,0,4,2019-2020
Alexander Isak,19,se SWE,FW,19-358,72,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.4,2,0,6,9,66.7,1,8,1,1,0,4,2019-2020
   Willian José,9,br BRA,FW,27-295,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,5,1,1,0,4,2019-2020
Mikel Oyarzabal,10,es ESP,LW,22-146,90,0,0,0,0,6,2,0,0,44,1,0,0,0.6,0.6,0.0,1,1,19,24,79.2,3,28,3,6,2,4,2019-2020
Portu,7,es ESP,RW,27-116,82,0,0,0,0,0,0,0,0,31,4,0,3,0.0,0.0,0.2,4,0,14,21,66.7,2,13,5,1,0,4,2019-2020
   Adnan Januzaj,11,be BEL,RW,24-221,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,6,2,2,0,4,2019-2020
Martin Ødegaard,21,no NOR,AM,20-271,90,1,0,0,0,3,1,0,0,72,0,0,1,0.2,0.2,0.1,9,0,48,60,80.0,9,50,5,5,3,4,2019-2020
Mikel Merino,8,es ESP,DM,23-084,82,0,1,0,0,0,0,0,0,58,1,1,2,0.0,0.0,0.1,1,1,42,53,79.2,9,26,1,0,0,4,2019-2020
   David Zurutuza,17,es ESP,DM,33-057,8,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,12,100.0,0,8,1,0,0,4,2019-2020
Igor Zubeldia,5,es ESP,DM,22-168,90,0,0,0,0,0,0,1,0,60,1,0,0,0.0,0.0,0.0,1,0,49,55,89.1,2,40,1,0,0,4,2019-2020
Nacho Monreal,20,es ESP,LB,33-200,90,1,0,0,0,2,2,0,0,64,1,0,0,0.9,0.9,0.0,1,1,42,54,77.8,4,31,3,0,0,4,2019-2020
Diego Llorente,3,es ESP,CB,26-029,90,0,0,0,0,2,0,0,0,78,3,0,0,0.4,0.4,0.0,1,0,62,72,86.1,5,43,1,1,1,4,2019-2020
Aritz Elustondo,6,es ESP,CB,25-170,90,0,0,0,0,0,0,0,0,63,3,2,2,0.0,0.0,0.3,2,0,36,45,80.0,1,30,0,1,0,4,2019-2020
Joseba Zaldúa,2,es ESP,RB,27-082,90,0,0,0,0,1,0,0,0,57,1,0,0,0.0,0.0,0.0,2,0,38,48,79.2,7,23,0,1,0,4,2019-2020
Miguel Ángel Moyá,13,es ESP,GK,35-165,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,33,44,75.0,0,20,0,1,1,4,2019-2020
Alexander Isak,19,se SWE,FW,19-358,72,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.4,2,0,6,9,66.7,1,8,1,1,0,4,2019-2020
   Willian José,9,br BRA,FW,27-295,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,5,1,1,0,4,2019-2020
Mikel Oyarzabal,10,es ESP,LW,22-146,90,0,0,0,0,6,2,0,0,44,1,0,0,0.6,0.6,0.0,1,1,19,24,79.2,3,28,3,6,2,4,2019-2020
Portu,7,es ESP,RW,27-116,82,0,0,0,0,0,0,0,0,31,4,0,3,0.0,0.0,0.2,4,0,14,21,66.7,2,13,5,1,0,4,2019-2020
   Adnan Januzaj,11,be BEL,RW,24-221,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,6,2,2,0,4,2019-2020
Martin Ødegaard,21,no NOR,AM,20-271,90,1,0,0,0,3,1,0,0,72,0,0,1,0.2,0.2,0.1,9,0,48,60,80.0,9,50,5,5,3,4,2019-2020
Mikel Merino,8,es ESP,DM,23-084,82,0,1,0,0,0,0,0,0,58,1,1,2,0.0,0.0,0.1,1,1,42,53,79.2,9,26,1,0,0,4,2019-2020
   David Zurutuza,17,es ESP,DM,33-057,8,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,12,100.0,0,8,1,0,0,4,2019-2020
Igor Zubeldia,5,es ESP,DM,22-168,90,0,0,0,0,0,0,1,0,60,1,0,0,0.0,0.0,0.0,1,0,49,55,89.1,2,40,1,0,0,4,2019-2020
Nacho Monreal,20,es ESP,LB,33-200,90,1,0,0,0,2,2,0,0,64,1,0,0,0.9,0.9,0.0,1,1,42,54,77.8,4,31,3,0,0,4,2019-2020
Diego Llorente,3,es ESP,CB,26-029,90,0,0,0,0,2,0,0,0,78,3,0,0,0.4,0.4,0.0,1,0,62,72,86.1,5,43,1,1,1,4,2019-2020
Aritz Elustondo,6,es ESP,CB,25-170,90,0,0,0,0,0,0,0,0,63,3,2,2,0.0,0.0,0.3,2,0,36,45,80.0,1,30,0,1,0,4,2019-2020
Joseba Zaldúa,2,es ESP,RB,27-082,90,0,0,0,0,1,0,0,0,57,1,0,0,0.0,0.0,0.0,2,0,38,48,79.2,7,23,0,1,0,4,2019-2020
Miguel Ángel Moyá,13,es ESP,GK,35-165,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,33,44,75.0,0,20,0,1,1,4,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-177,90,0,1,0,0,3,2,0,0,54,2,0,1,0.5,0.5,0.1,4,2,42,47,89.4,4,30,2,2,2,4,2019-2020
Ansu Fati,31,es ESP,LW,16-318,59,1,1,0,0,3,1,0,0,61,0,0,0,0.2,0.2,0.5,3,2,38,50,76.0,1,53,12,5,3,4,2019-2020
   Luis Suárez,9,uy URU,FW,32-233,31,2,0,0,0,3,3,0,0,13,1,0,0,0.1,0.1,0.1,1,0,7,8,87.5,1,7,1,1,0,4,2019-2020
Carles Pérez,27,es ESP,RW,21-210,90,0,0,0,0,2,1,0,0,83,1,0,3,0.1,0.1,0.1,6,1,60,69,87.0,4,63,5,4,3,4,2019-2020
Arthur Melo,8,br BRA,LM,23-033,72,0,1,0,0,1,1,0,0,74,0,1,0,0.0,0.0,0.1,3,1,66,69,95.7,3,50,1,2,2,4,2019-2020
   Arturo Vidal,22,cl CHI,LM,32-115,18,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,9,1,0,0,4,2019-2020
Sergio Busquets,5,es ESP,CM,31-060,90,0,0,0,0,1,0,0,0,115,2,1,0,0.0,0.0,0.1,6,2,100,109,91.7,11,71,1,1,1,4,2019-2020
Frenkie de Jong,21,nl NED,RM,22-125,69,1,1,0,0,1,1,0,0,57,0,1,0,0.5,0.5,0.6,3,1,53,53,100.0,8,41,5,3,3,4,2019-2020
   Ivan Rakitić,4,hr CRO,RM,31-188,21,0,0,0,0,1,0,0,0,18,0,0,2,0.1,0.1,0.0,0,0,8,12,66.7,0,8,1,0,0,4,2019-2020
Jordi Alba,18,es ESP,LB,30-177,90,0,0,0,0,0,0,1,0,119,0,2,1,0.0,0.0,0.1,2,0,102,114,89.5,14,62,2,1,1,4,2019-2020
Clément Lenglet,15,fr FRA,CB,24-089,90,0,0,0,0,0,0,0,0,88,2,0,0,0.0,0.0,0.0,0,0,78,82,95.1,6,64,0,0,0,4,2019-2020
Gerard Piqué,3,es ESP,CB,32-224,90,1,0,0,0,1,1,0,0,84,2,0,0,0.9,0.9,0.0,0,0,78,79,98.7,8,58,2,0,0,4,2019-2020
Nélson Semedo,2,pt POR,RB,25-302,90,0,0,0,0,1,0,0,0,82,5,2,1,0.0,0.0,0.0,0,0,61,66,92.4,4,55,4,2,1,4,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-137,90,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,21,23,91.3,0,13,0,0,0,4,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-177,90,0,1,0,0,3,2,0,0,54,2,0,1,0.5,0.5,0.1,4,2,42,47,89.4,4,30,2,2,2,4,2019-2020
Ansu Fati,31,es ESP,LW,16-318,59,1,1,0,0,3,1,0,0,61,0,0,0,0.2,0.2,0.5,3,2,38,50,76.0,1,53,12,5,3,4,2019-2020
   Luis Suárez,9,uy URU,FW,32-233,31,2,0,0,0,3,3,0,0,13,1,0,0,0.1,0.1,0.1,1,0,7,8,87.5,1,7,1,1,0,4,2019-2020
Carles Pérez,27,es ESP,RW,21-210,90,0,0,0,0,2,1,0,0,83,1,0,3,0.1,0.1,0.1,6,1,60,69,87.0,4,63,5,4,3,4,2019-2020
Arthur Melo,8,br BRA,LM,23-033,72,0,1,0,0,1,1,0,0,74,0,1,0,0.0,0.0,0.1,3,1,66,69,95.7,3,50,1,2,2,4,2019-2020
   Arturo Vidal,22,cl CHI,LM,32-115,18,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,9,1,0,0,4,2019-2020
Sergio Busquets,5,es ESP,CM,31-060,90,0,0,0,0,1,0,0,0,115,2,1,0,0.0,0.0,0.1,6,2,100,109,91.7,11,71,1,1,1,4,2019-2020
Frenkie de Jong,21,nl NED,RM,22-125,69,1,1,0,0,1,1,0,0,57,0,1,0,0.5,0.5,0.6,3,1,53,53,100.0,8,41,5,3,3,4,2019-2020
   Ivan Rakitić,4,hr CRO,RM,31-188,21,0,0,0,0,1,0,0,0,18,0,0,2,0.1,0.1,0.0,0,0,8,12,66.7,0,8,1,0,0,4,2019-2020
Jordi Alba,18,es ESP,LB,30-177,90,0,0,0,0,0,0,1,0,119,0,2,1,0.0,0.0,0.1,2,0,102,114,89.5,14,62,2,1,1,4,2019-2020
Clément Lenglet,15,fr FRA,CB,24-089,90,0,0,0,0,0,0,0,0,88,2,0,0,0.0,0.0,0.0,0,0,78,82,95.1,6,64,0,0,0,4,2019-2020
Gerard Piqué,3,es ESP,CB,32-224,90,1,0,0,0,1,1,0,0,84,2,0,0,0.9,0.9,0.0,0,0,78,79,98.7,8,58,2,0,0,4,2019-2020
Nélson Semedo,2,pt POR,RB,25-302,90,0,0,0,0,1,0,0,0,82,5,2,1,0.0,0.0,0.0,0,0,61,66,92.4,4,55,4,2,1,4,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-137,90,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,21,23,91.3,0,13,0,0,0,4,2019-2020
Sergi Enrich,9,es ESP,FW,29-201,80,0,0,0,0,1,0,0,0,26,1,0,3,0.1,0.1,0.0,1,1,9,14,64.3,0,11,1,0,0,4,2019-2020
   Quique,7,es ESP,FW,29-122,10,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,4,1,3,2,4,2019-2020
Charles,19,br BRA,FW,35-164,90,0,0,0,0,2,0,0,0,27,0,0,1,0.2,0.2,0.0,1,0,14,18,77.8,1,16,0,0,0,4,2019-2020
Takashi Inui,22,jp JPN,LM,31-105,90,0,0,0,0,1,0,0,0,34,1,1,0,0.0,0.0,0.1,3,0,18,24,75.0,1,18,2,2,1,4,2019-2020
