player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Jonathan Silva,5,ar ARG,LB,25-077,90,68,5,16,36,19,1,68,0,0,,0,,35,154,89,4,2,0,2,1,39,12,4,2019-2020
Dimitris Siovas,22,gr GRE,CB,30-363,90,60,4,25,32,3,3,60,0,0,,0,,37,273,165,2,0,0,0,0,38,0,4,2019-2020
Chidozie Awaziem,12,ng NGA,CB,22-256,90,64,6,32,27,5,3,64,0,0,,0,,39,216,122,1,0,0,1,0,42,0,4,2019-2020
Unai Bustinza,3,es ESP,RB,27-224,81,48,2,13,21,14,3,48,1,1,100.0,0,0.0,23,68,19,0,0,0,0,0,27,6,4,2019-2020
   Javier Eraso,17,es ESP,RM,29-176,9,7,0,6,0,1,0,7,0,0,,0,,5,14,8,0,0,0,0,0,4,0,4,2019-2020
Juan Soriano,13,es ESP,GK,22-022,90,25,23,25,0,0,0,25,0,0,,0,,13,81,36,0,0,0,0,0,10,0,4,2019-2020
Carlos Bacca,9,co COL,FW,33-006,75,20,0,1,8,11,3,20,1,0,0.0,1,100.0,8,30,11,1,0,0,3,0,15,3,4,2019-2020
   Karl Toko Ekambi,17,cm CMR,FW,27-000,15,9,0,2,2,5,0,9,2,2,100.0,0,0.0,5,61,24,1,1,0,2,2,5,3,4,2019-2020
Moi Gómez,23,es ESP,LW,25-083,87,52,1,10,25,18,0,52,0,0,,0,,29,148,73,1,3,0,0,1,42,7,4,2019-2020
   Javier Ontiveros,24,es ESP,LW,22-005,3,3,0,1,1,1,0,3,0,0,,0,,3,31,9,0,0,0,1,0,3,0,4,2019-2020
Gerard Moreno,7,es ESP,RW,27-160,90,54,4,11,26,18,3,54,2,2,100.0,0,0.0,35,185,23,0,1,0,5,2,42,5,4,2019-2020
Santi Cazorla,8,es ESP,AM,34-275,62,47,1,2,25,20,0,47,0,0,,0,,23,95,27,1,0,0,2,0,35,2,4,2019-2020
   Rubén Peña,20,es ESP,AM,28-058,28,12,0,1,9,2,0,12,1,0,0.0,1,100.0,7,47,6,0,0,0,1,1,9,3,4,2019-2020
Vicente Iborra,10,es ESP,DM,31-241,90,57,3,18,34,6,0,57,0,0,,0,,17,65,21,0,2,0,0,0,29,0,4,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,DM,23-302,90,61,2,11,35,16,3,61,2,1,50.0,1,50.0,34,307,125,1,1,1,2,0,39,0,4,2019-2020
Xavi Quintillà,16,es ESP,LB,23-022,90,73,4,17,40,17,1,73,0,0,,0,,25,110,56,1,0,0,0,0,49,3,4,2019-2020
Pau Torres,4,es ESP,CB,22-241,90,64,6,33,31,0,0,64,0,0,,0,,33,169,89,0,1,1,0,0,42,0,4,2019-2020
Raúl Albiol,3,es ESP,CB,34-010,90,59,5,26,32,1,1,59,0,0,,0,,28,188,121,0,0,0,1,0,42,1,4,2019-2020
Mario Gaspar,2,es ESP,RB,28-294,90,70,2,20,38,12,2,70,2,1,50.0,1,50.0,29,105,53,0,2,0,1,1,43,5,4,2019-2020
Sergio Asenjo,1,es ESP,GK,30-078,90,32,29,32,0,0,0,32,0,0,,0,,12,69,53,0,0,0,0,0,5,0,4,2019-2020
Alexander Isak,19,se SWE,FW,19-358,72,15,1,1,5,9,2,15,1,0,0.0,1,100.0,8,63,30,1,1,0,2,2,10,4,4,2019-2020
   Willian José,9,br BRA,FW,27-295,18,6,0,1,2,3,0,6,1,0,0.0,1,100.0,5,31,27,1,0,0,1,0,3,0,4,2019-2020
Mikel Oyarzabal,10,es ESP,LW,22-146,90,44,0,5,16,23,4,44,6,2,33.3,4,66.7,28,158,79,3,1,0,6,0,32,9,4,2019-2020
Portu,7,es ESP,RW,27-116,82,31,0,2,11,19,7,31,1,0,0.0,1,100.0,13,199,106,5,6,2,4,0,15,10,4,2019-2020
   Adnan Januzaj,11,be BEL,RW,24-221,8,11,1,1,6,4,1,11,2,0,0.0,2,100.0,6,57,49,2,0,1,0,0,7,2,4,2019-2020
Martin Ødegaard,21,no NOR,AM,20-271,90,72,0,7,34,32,3,72,5,3,60.0,2,40.0,50,280,157,5,3,2,3,3,53,6,4,2019-2020
Mikel Merino,8,es ESP,DM,23-084,82,58,1,8,35,15,1,58,0,0,,0,,26,103,53,1,3,0,1,1,41,2,4,2019-2020
   David Zurutuza,17,es ESP,DM,33-057,8,15,1,1,12,2,0,15,0,0,,0,,8,51,19,1,0,0,0,0,12,0,4,2019-2020
Igor Zubeldia,5,es ESP,DM,22-168,90,60,3,22,37,2,0,60,0,0,,0,,40,312,174,1,0,0,2,0,44,0,4,2019-2020
Nacho Monreal,20,es ESP,LB,33-200,90,64,5,17,28,19,3,64,0,0,,0,,31,158,92,3,3,0,1,1,41,6,4,2019-2020
Diego Llorente,3,es ESP,CB,26-029,90,78,6,38,38,2,2,78,1,1,100.0,0,0.0,43,225,140,1,0,0,1,0,57,0,4,2019-2020
Aritz Elustondo,6,es ESP,CB,25-170,90,63,11,31,31,1,1,63,1,0,0.0,1,100.0,30,176,58,0,0,0,1,0,32,0,4,2019-2020
Joseba Zaldúa,2,es ESP,RB,27-082,90,57,1,18,22,17,0,57,1,0,0.0,1,100.0,23,112,41,0,3,0,1,0,36,5,4,2019-2020
Miguel Ángel Moyá,13,es ESP,GK,35-165,90,46,43,46,0,0,0,46,1,1,100.0,0,0.0,20,106,56,0,0,0,0,0,21,0,4,2019-2020
João Félix,7,pt POR,FW,19-308,56,27,1,4,14,10,3,27,2,1,50.0,1,50.0,17,96,35,1,2,0,2,2,20,6,4,2019-2020
   Ángel Correa,10,ar ARG,FW,24-189,34,11,0,0,2,9,6,11,0,0,,0,,7,24,10,1,0,0,0,2,10,5,4,2019-2020
Diego Costa,19,es ESP,FW,30-342,90,37,1,2,21,14,5,37,0,0,,0,,20,93,36,2,2,1,3,2,29,7,4,2019-2020
Thomas Lemar,11,fr FRA,LM,23-306,45,29,1,4,18,8,1,29,1,0,0.0,1,100.0,21,86,38,0,2,0,2,1,20,1,4,2019-2020
   Marcos Llorente,14,es ESP,CM,24-227,45,22,0,1,16,5,0,22,0,0,,0,,11,76,55,2,1,0,0,0,14,1,4,2019-2020
Saúl Ñíguez,8,es ESP,CM,24-297,90,68,3,18,41,9,0,68,0,0,,0,,29,134,73,0,0,0,0,0,40,1,4,2019-2020
Koke,6,es ESP,"LM,CM",27-249,90,68,1,12,33,23,3,68,0,0,,0,,29,89,40,1,2,0,1,2,43,3,4,2019-2020
Vitolo,20,es ESP,RM,29-316,90,51,2,10,20,23,3,51,6,3,50.0,3,50.0,30,228,124,5,5,1,1,0,33,1,4,2019-2020
Renan Lodi,12,br BRA,LB,21-159,90,61,2,17,26,18,0,61,1,0,0.0,1,100.0,33,190,90,3,3,0,1,1,35,8,4,2019-2020
José María Giménez,2,uy URU,CB,24-237,90,41,7,19,16,6,6,41,0,0,,0,,18,62,27,0,0,0,1,0,24,0,4,2019-2020
Stefan Savić,15,me MNE,CB,28-249,90,39,6,19,20,0,0,39,0,0,,0,,17,73,34,0,0,0,0,0,14,0,4,2019-2020
Kieran Trippier,23,eng ENG,RB,28-360,90,62,2,17,27,18,2,62,1,1,100.0,0,0.0,27,71,33,1,1,0,3,0,34,3,4,2019-2020
Jan Oblak,13,si SVN,GK,26-250,65,23,20,23,0,0,0,23,0,0,,0,,7,42,39,0,0,0,1,0,7,0,4,2019-2020
   Antonio Adán,1,es ESP,GK,32-124,25,7,4,6,1,0,0,7,0,0,,0,,3,24,22,0,0,0,0,0,1,0,4,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-177,90,54,0,3,15,36,2,54,2,2,100.0,0,0.0,30,168,85,2,2,1,1,0,46,8,4,2019-2020
Ansu Fati,31,es ESP,LW,16-318,59,61,0,2,16,44,10,61,5,3,60.0,2,40.0,53,409,226,12,3,4,5,1,56,18,4,2019-2020
   Luis Suárez,9,uy URU,FW,32-233,31,13,0,0,2,11,3,13,1,0,0.0,1,100.0,7,38,27,1,2,1,0,0,12,3,4,2019-2020
Carles Pérez,27,es ESP,RW,21-210,90,83,0,4,21,59,4,83,4,3,75.0,1,25.0,63,393,213,5,8,2,4,2,72,13,4,2019-2020
Arthur Melo,8,br BRA,LM,23-033,72,74,1,2,41,32,1,74,2,2,100.0,0,0.0,50,280,78,1,5,0,0,1,64,4,4,2019-2020
   Arturo Vidal,22,cl CHI,LM,32-115,18,15,0,1,7,7,1,15,0,0,,0,,9,27,11,1,1,0,1,0,14,2,4,2019-2020
Sergio Busquets,5,es ESP,CM,31-060,90,115,4,10,84,22,0,115,1,1,100.0,0,0.0,71,243,109,1,4,0,0,0,90,4,4,2019-2020
Frenkie de Jong,21,nl NED,RM,22-125,69,57,0,4,29,26,3,57,3,3,100.0,0,0.0,41,304,213,5,4,1,0,1,51,4,4,2019-2020
   Ivan Rakitić,4,hr CRO,RM,31-188,21,18,1,2,8,8,2,18,0,0,,0,,8,62,40,1,0,0,1,1,11,0,4,2019-2020
