playerId,pid,nn
544,3,F De Jong
766,4,Sancet
845,3,Fidel
874,3,Oscar
922,3,Tete Morente
927,4,Berenguer
995,4,Yeremy
1062,4,Wu Lei
1075,2,Brian Oliván
1088,3,De Paul
1101,2,Franquesa
1108,3,Manu García
1115,2,Óscar Gil
1116,3,Melamed
1130,2,Eric García
1134,3,Cervi
1136,2,Bigas
1144,3,Alarcón
1148,2,Mitrovic
1155,4,Kike García
1167,4,Dani Raba
1168,2,Manu Sánchez
1183,4,Sandro
1187,4,Lamela
1191,4,Hugo Duro
1207,4,Pellistri
1221,3,Gavi
1243,2,Aleix Vidal
1269,2,Fran Garcia
1287,4,Cunha
1296,2,Arias
1298,2,Escudero
1302,3,Gumbau
1312,4,Falcao
838,2,Verdú
1031,3,Comesaña
1033,2,Catena
1042,4,Bebé
1052,3,Fran Merida
1146,3,Aleñá
1165,2,Alderete
1182,3,Okay
1186,3,Pathé Ciss
1200,2,Mojica
1213,4,Lobete
1305,2,Bellerín
368,2,Martín Aguirregabiria
602,3,Puertas
743,2,Rober Pier
812,4,Alejo
844,1,Badía
876,3,Guillamón
882,4,Ruibal
887,3,Son
1047,1,Luca
1057,2,Dídac
1059,2,Calero
1061,4,Dimata
1092,2,Roco
1093,4,Amath
1096,2,Areso
1098,2,Saveljich
1103,3,Óscar Valentín
1122,2,Petxarroman
1129,3,Mario Suárez
1132,1,Rui Silva
1145,2,Arzamendia
1147,2,Juan Iglesias
1159,2,Vallejo
1162,1,Mat Ryan
1184,1,Greif
1185,4,Barbero
1194,4,Idrissi
1201,2,Edgar
1208,2,Lejeune
1214,3,Robert Navarro
1218,2,Álex Balde
1220,3,Nico
1231,1,Diego Conde
1246,3,ABlanco
1247,2,Kevin Rodrigues
1248,1,Javi Díaz
1255,1,Mamardashvili
1256,2,Jesús Vázquez
1264,3,Chapela
1266,1,JGarcía
1273,1,Lecomte
1280,2,Montiel
1285,4,Sylla
1292,4,Andone
1295,2,Pezzella
1297,2,Jonathan Silva
1300,3,Camavinga
1306,4,Sergi Guardiola
1308,3,Pepelu
1081,4,Abdón
1102,2,Mario H
